epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,27609.9,0.86691,0.69957,1.18237,0.85871,0.8562,0.87792,0.58646,1.18459,0.61705,1.39337,0.005842,0.005842,0.005842
44,27776.2,0.86002,0.6834,1.18057,0.79294,0.85593,0.85197,0.57687,1.21923,0.68748,1.40713,0.005743,0.005743,0.005743
45,27937.7,0.85038,0.68117,1.17552,0.8798,0.89401,0.91417,0.61536,1.21086,0.57481,1.42168,0.005644,0.005644,0.005644
46,28100.9,0.84484,0.67164,1.17293,0.84446,0.85787,0.87086,0.59195,1.20648,0.602,1.44496,0.005545,0.005545,0.005545
47,28231.1,0.83068,0.64998,1.16234,0.85961,0.82977,0.87555,0.59853,1.22219,0.63181,1.44703,0.005446,0.005446,0.005446
48,28354.8,0.82656,0.64747,1.16171,0.8413,0.89433,0.89961,0.61447,1.20673,0.6013,1.41668,0.005347,0.005347,0.005347
49,28479.9,0.82921,0.65749,1.16073,0.88874,0.85054,0.88055,0.59548,1.21378,0.59114,1.41784,0.005248,0.005248,0.005248
50,28603.1,0.82189,0.64275,1.15511,0.85621,0.89589,0.90095,0.61415,1.1867,0.59284,1.40226,0.005149,0.005149,0.005149
51,28725.9,0.82632,0.64501,1.15948,0.87513,0.8846,0.90091,0.60777,1.19221,0.58075,1.41147,0.00505,0.00505,0.00505
52,28848.5,0.8057,0.62855,1.1446,0.88718,0.88333,0.90922,0.62137,1.19678,0.58161,1.41821,0.004951,0.004951,0.004951
53,28972,0.80016,0.62579,1.14542,0.8494,0.89705,0.90452,0.60821,1.22282,0.59031,1.43833,0.004852,0.004852,0.004852
54,29095.7,0.79897,0.61168,1.14291,0.90221,0.88064,0.9017,0.60708,1.24377,0.58278,1.46786,0.004753,0.004753,0.004753
55,29218.7,0.78979,0.60498,1.14185,0.87699,0.8702,0.89254,0.60765,1.21135,0.61383,1.44975,0.004654,0.004654,0.004654
56,29342.1,0.78151,0.60067,1.13226,0.86756,0.88087,0.89263,0.59849,1.22078,0.59854,1.4346,0.004555,0.004555,0.004555
57,29464.8,0.78626,0.61107,1.13593,0.88213,0.88609,0.91284,0.61843,1.21691,0.56764,1.43951,0.004456,0.004456,0.004456
58,29587.4,0.7697,0.58689,1.12438,0.866,0.90545,0.91766,0.62158,1.20309,0.57576,1.44027,0.004357,0.004357,0.004357
59,29710.6,0.77146,0.59301,1.1257,0.87474,0.85317,0.89826,0.60962,1.21863,0.61239,1.4613,0.004258,0.004258,0.004258
60,29832.9,0.77189,0.58298,1.1254,0.87831,0.87884,0.90796,0.61635,1.19711,0.59004,1.43233,0.004159,0.004159,0.004159
61,29955.7,0.7492,0.56316,1.11167,0.89475,0.87958,0.90127,0.60112,1.21981,0.59461,1.46644,0.00406,0.00406,0.00406
62,30078.1,0.75329,0.56359,1.11621,0.89897,0.8726,0.90397,0.61259,1.20638,0.57352,1.44819,0.003961,0.003961,0.003961
63,30200.7,0.7523,0.56043,1.11599,0.86389,0.86385,0.88518,0.60433,1.21117,0.59355,1.45499,0.003862,0.003862,0.003862
64,30323.8,0.74051,0.55358,1.11463,0.88304,0.87867,0.8946,0.61441,1.20691,0.57841,1.46458,0.003763,0.003763,0.003763
65,30447.1,0.73557,0.55114,1.10315,0.86692,0.86709,0.88363,0.59051,1.24522,0.61978,1.49866,0.003664,0.003664,0.003664
66,30570.4,0.73028,0.55189,1.10359,0.87034,0.88386,0.89294,0.59955,1.22562,0.5889,1.49283,0.003565,0.003565,0.003565
67,30695.6,0.71902,0.53034,1.09649,0.91057,0.83548,0.89117,0.59941,1.25227,0.58586,1.51816,0.003466,0.003466,0.003466
68,30821,0.72257,0.53628,1.10008,0.89475,0.87309,0.89458,0.59973,1.24752,0.60102,1.5132,0.003367,0.003367,0.003367
69,30957.3,0.70691,0.5306,1.09229,0.88562,0.86897,0.89752,0.59761,1.25537,0.60546,1.5402,0.003268,0.003268,0.003268
70,31144.7,0.70467,0.52262,1.09051,0.88827,0.86963,0.89786,0.60027,1.23779,0.59193,1.50457,0.003169,0.003169,0.003169
71,31268.8,0.70389,0.51503,1.08934,0.88815,0.88478,0.90727,0.60204,1.24346,0.58689,1.51005,0.00307,0.00307,0.00307
72,31394,0.69538,0.50992,1.08317,0.85465,0.89407,0.90634,0.6087,1.23992,0.58604,1.51745,0.002971,0.002971,0.002971
73,31518.8,0.69098,0.50523,1.08127,0.86272,0.87693,0.90162,0.60586,1.25481,0.61075,1.52285,0.002872,0.002872,0.002872
74,31643.8,0.68263,0.50475,1.07687,0.91911,0.8605,0.91525,0.60784,1.24284,0.57083,1.52887,0.002773,0.002773,0.002773
75,31768.5,0.6834,0.50257,1.07816,0.88333,0.88075,0.91023,0.60141,1.23717,0.58585,1.5215,0.002674,0.002674,0.002674
76,31892.9,0.67693,0.48503,1.07522,0.8833,0.88687,0.90673,0.60718,1.24949,0.59074,1.54218,0.002575,0.002575,0.002575
77,32017.1,0.66992,0.49301,1.07376,0.92696,0.8505,0.91605,0.61445,1.24546,0.57482,1.54136,0.002476,0.002476,0.002476
78,32141.2,0.65604,0.47518,1.06137,0.898,0.88257,0.90924,0.60117,1.24993,0.59908,1.56612,0.002377,0.002377,0.002377
